,median_comment_ratio,median_improving_ratio,median_nloc,median_n_concepts,questions_attempted,breakthrough_ratio,median_edit_size,churn_ratio,median_long_pause_ratio,median_mean_delta_sec,median_attempts,median_fast_retry_ratio
median_comment_ratio,1.000,-0.232,-0.108,-0.248,-0.121,-0.047,-0.042,0.029,-0.000,0.012,-0.089,-0.027
median_improving_ratio,-0.232,1.000,0.372,0.438,0.278,0.304,0.114,-0.082,-0.031,0.027,0.033,-0.053
median_nloc,-0.108,0.372,1.000,0.448,0.194,0.230,0.055,0.143,-0.054,-0.004,0.156,0.004
median_n_concepts,-0.248,0.438,0.448,1.000,0.202,0.208,-0.004,0.016,-0.042,0.042,0.229,0.092
questions_attempted,-0.121,0.278,0.194,0.202,1.000,0.262,-0.044,-0.131,-0.109,0.045,-0.095,0.055
breakthrough_ratio,-0.047,0.304,0.230,0.208,0.262,1.000,-0.179,-0.079,-0.067,-0.001,-0.042,0.005
median_edit_size,-0.042,0.114,0.055,-0.004,-0.044,-0.179,1.000,0.355,0.171,0.136,-0.133,-0.182
churn_ratio,0.029,-0.082,0.143,0.016,-0.131,-0.079,0.355,1.000,0.146,0.116,0.163,0.113
median_long_pause_ratio,-0.000,-0.031,-0.054,-0.042,-0.109,-0.067,0.171,0.146,1.000,0.804,-0.359,-0.290
median_mean_delta_sec,0.012,0.027,-0.004,0.042,0.045,-0.001,0.136,0.116,0.804,1.000,-0.225,-0.233
median_attempts,-0.089,0.033,0.156,0.229,-0.095,-0.042,-0.133,0.163,-0.359,-0.225,1.000,0.533
median_fast_retry_ratio,-0.027,-0.053,0.004,0.092,0.055,0.005,-0.182,0.113,-0.290,-0.233,0.533,1.000
