profile,count,pct_cohort,mean_attempts,mean_score,mean_fast_retry,mean_long_pause,success_rate,associated_clusters
Elite Learner,191,32.48299319727891,24.684554973821985,85.9634380453752,0.6552329267762069,0.03856905704323774,1.0,[2]
Efficient Solver,60,10.204081632653061,11.151666666666667,79.65638888888888,0.6218479350508749,0.041254174403510535,1.0,[2]
Lucky (High),55,9.353741496598639,9.124848484848485,86.04060606060605,0.3511721865289875,0.24154345831586962,1.0,"[2, 1]"
Effective Sprint,44,7.482993197278912,21.637878787878787,84.63560606060607,0.5943719857463746,0.1545148290867252,1.0,[2]
Checked Out,41,6.9727891156462585,6.91869918699187,17.08008130081301,0.2995970006877634,0.2408800938237949,0.0,"[1, 2]"
Passive,41,6.9727891156462585,6.941463414634145,14.025609756097559,0.2874441416356459,0.040794577274666156,0.0,"[1, 2]"
Confident,34,5.782312925170068,9.816176470588236,80.3686274509804,0.3777924995484255,0.04932658797015862,1.0,"[2, 1]"
Methodical,31,5.272108843537415,19.615053763440862,77.56182795698926,0.4198090711266662,0.04631545577577342,1.0,[2]
Quick Success,29,4.931972789115647,11.871264367816092,92.13678160919542,0.5771370478704244,0.17125999449565446,1.0,[2]
Persistent Learner,17,2.891156462585034,20.93235294117647,27.34607843137255,0.6337188863181971,0.056150262725407143,0.0,"[2, 1]"
Lucky Guesser,13,2.2108843537414966,19.393589743589743,77.97435897435898,0.45600387810591336,0.17910310044007158,1.0,[2]
Resigned,12,2.0408163265306123,8.241666666666667,18.01388888888889,0.5728188784135636,0.02865769748445186,0.0,"[1, 2]"
Quick Quit,8,1.3605442176870748,8.427083333333334,18.989583333333336,0.5824398100991237,0.20813340866649688,0.0,"[1, 2]"
Struggling Guesser,5,0.8503401360544217,17.726666666666667,26.986666666666668,0.31151204382783326,0.19934686634686627,0.0,"[1, 2]"
Stuck Thinker,4,0.6802721088435374,21.3125,26.333333333333336,0.3887864511133591,0.02113246662420535,0.0,[2]
Thrashing,3,0.5102040816326531,17.92222222222222,34.5,0.6214008541417263,0.1809328625572709,0.0,"[2, 1]"
